aerospace,BA,RTX,HON,GE,LMT,NOC,GD,TDG,LHX,HEI,HWM,TXT,HII,CW,WWD,HXL,JOBY,MOG/A,RKLB,AIN,AVAV,MRCY,SPR,AIR,KTOS,B,PAR,ASLE,TGI,KAMN,ATRO,DCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
app_software,CRM,ADBE,INTU,WDAY,VEEV,PYCR,HUBS,PEGA,ADSK,TYL,TEAM,PAYC,PRGS,VRNT,WK,CDNS,GWRE,OKTA,ROP,BILL,PRO,DOMO,PD,QTWO,BL,SHOP,PLTR,SSNC,MANH,SPSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparel,NKE,DECK,TPR,VFC,CROX,RL,SKX,LEVI,COLM,PVH,UAA,SHOO,CRI,KTB,GIL,HBI,OXM,WWW,GOOS,ONON,CPRI,MOV,URBN,VSCO,GPS,AEO,CURV,GES,LULU,ULTA,GIII,SIG,RVLV,ANF,BKE,DDS,M,KSS,JWN,CHS,DBI,TJX,ROST,BOOT,SCVL,SBH,EYE,WINA,WRBY,CAL,BURL,LE,PLCE,DLTH,FL,ZUMZ,CTRN,GCO,,
automotive,ORLY,AZO,GPC,KMX,PAG,AAP,CAR,LAD,AN,HTZ,ABG,GPI,MCW,CVNA,SAH,MNRO,HZO,CRMT,CPRT,LKQ,CARS,CARG,BWA,LEA,GNTX,DRVN,FOXF,GT,VC,ADNT,DORM,LAZR,XPEL,THRM,DAN,MEI,INDI,AXL,SMP,ALSN,CMI,CPS,TSLA,F,GM,LCID,RIVN,HOG,FSR,PCAR,BLBD,CVGI,OSK,WNC,REVG,SHYF,HMC,TM,STLA,RACE
banks,JPM,BAC,WFC,MTB,C,USB,PNC,TFC,COF,FCNCA,FITB,RF,HBAN,CFG,KEY,NYCB,EWBC,WBS,FHN,CMA,CBSH,CFR,BOKF,SSB,WAL,PB,ZION,PNFP,WTFC,VLY,OZK,SNV,HOMB,COLB,CADE,FNB,UBSI,UMBF,TFSL,HWC,GBCI,UCBI,ASB,BOH,WABC,PACW,TCBI,ABCB,FIBK,FULT,HTLF,SFNC,WSFS,PPBI,INDB,IBOC,BANF,ONB,,SFBS
chemicals,DOW,LIN,SHW,MOS,PPG,CTVA,ECL,IFF,DD,APD,CF,EMN,CE,AVY,HUN,ALB,RPM,CC,FMC,AXTA,CBT,TROX,AVNT,SCL,NEU,ESI,ASH,IOSP,KWR,MTRN,NGVT,SXT,VVV,HWKN,BCPC,ECVT,LTHM,CSWI,WDFC,FUL,OLN,CLMT,MTX,WLK,MMM,,,,,,,,,,,,,,,
comp_hardware,DELL,HPQ,SNX,ARW,JBL,FLEX,AVT,MSI,INTL,STX,XRX,ZBRA,JNPR,SMCI,PLXS,PSTG,FFIV,TTMI,UI,VZIO,LITE,SONO,INFN,CRSR,DLB,VIAV,NTCT,ANET,NVDA,AAPL,CSCO,CIEN,HPE,GLW,TDY,NTAP,WDC,EXTR,ATEN,KN,HLIT,CRDO,,,,,,,,,,,,,,,,,,
const_materials,VMC,MLM,WMS,SSD,APOG,TREX,USLM,EXP,SUM,OC,CSL,ZEUS,,LPX,RYN,UFPI,WY,SLVM,PCH,CLF,HAYN,RS,STLD,CMC,NUE,RYI,ATI,WOR,TMST,CRS,TILE,DOOR,JELD,BXC,MAS,BCC,AMWD,MDU,PGTI,BECN,GMS,PATK,AWI,GFF,,,,,,,,,,,,,,,,
data_processors,V,MA,AXP,ADP,FISV,PYPL,PAYX,SQ,FIS,GPN,EFX,BR,FLT,FOUR,TOST,JKHY,AFRM,WU,RELY,EEFT,FLYW,MQ,PAYO,RIOT,MARA,PAY,CSGS,SABR,EVRI,MPLN,RPAY,BUSE,DLX,IIIV,GDOT,IBM,,,,,,,,,,,,,,,,,,,,,,,,
electrical,ETN,APH,CARR,TEL,ALNT,JCI,AME,OTIS,FTV,KEYS,HUBB,VRT,LII,AOS,CGNX,NATI,GNRC,NXT,BWX,LFUS,NOVT,ATKR,ST,AGX,AAON,AYI,BMI,AEIS,BDC,SPXC,HAYW,ITRI,ESE,OSIS,MIR,KE,AZZ,POWL,CDRE,MLAB,BELFA,,,,,,,,,,,,,,,,,,,
expl_prod,VNOM,CHK,CRK,HES,CPE,PR,MGY,FANG,PXD,COP,MTDR,DEN,XOM,APA,,CIVI,NOG,DVN,EOG,CHRD,CNX,SWN,OXY,MRO,MUR,CTRA,AR,RRC,EQT,SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fin_services,GS,SCHW,IBKR,RJF,TW,JEF,HLI,SF,EVR,BLK,MC,PJT,VIRT,PIPR,BGC,SNEX,RILY,PWP,MKTX,OPY,MS,COIN,SEIC,ARCC,RVTY,FSK,BXSL,HOOD,APO,EQH,FICO,KKR,CG,GCMG,MORN,TROW,STT,OWL,TPG,VOYA,IVZ,HLNE,AMG,AB,CNS,STEP,WT,VCTR,LPLA,AMP,AMK,TRU,HTGC,CME,ICE,CBOE,SPGI,MCO,MSCI,FDS
food_bev,TSN,KHC,GIS,PPC,K,HRL,CAG,HSY,CPB,INGR,MKC,POST,LW,FLO,THS,LANC,DNUT,UTZ,BRBR,TWNK,CALM,SMPL,USNA,JBSS,TR,ARKO,MDLZ,FDP,DAR,CVGW,SEB,JJSF,SJM,PEP,ADM,KO,KDP,TAP,MNST,BF/B,PRMW,SAM,CELH,BUD,COCO,NAPA,MGPI,STZ,KR,ACI,SFM,BG,ANDE,SYY,USFD,GO,PFGC,WMK,UNFI,SPTN
health_facilities,HCA,UHS,DVA,THC,EHC,ACHC,ENSG,SEM,USPH,NHC,BKD,INNV,CYH,PNTG,CANO,CMAX,IDXX,IQV,STE,LH,CRL,CTLT,MEDP,CHE,AGL,HQY,NEOG,DNA,SHC,SYNH,TDOC,PGNY,LFST,AMED,RDNT,OPK,CVS,MCK,CAH,CI,COR,WBA,HSIC,OPCH,PDCO,GDRX,PINC,NEO,AGTI,ACCD,MODV,FLGT,UNH,ELV,HUM,CNC,MOH,EHAB,CLOV,OMI
home_products,WHR,TPX,NWL,LEG,SMG,SPB,FND,CODI,MLKN,ARHS,HNI,IRBT,SCS,,HD,LOVE,HVT,CENT,BLDR,ACCO,LZB,ETD,SNBR,GRWG,RH,BBWI,WSM,TSCO,COOK,LOW,POOL,W,LESL,ODP,BBY,ETSY,,,,,,,,,,,,,,,,,,,,,,,,
homebuilders,DHI,LEN,NVR,PHM,TOL,FBIN,MHK,MTH,TMHC,SKY,KBH,MDC,TPH,LGIH,DFH,CVCO,CCS,GBRK,MBC,FOR,EQR,AUB,MAA,ESS,CPT,UDR,AIRC,CSR,VRE,INVH,AMH,MGRC,JOE,OPAD,LEGH,RKT,STWD,SUI,ELS,UMH,PFSI,WD,ALLY,UWMC,AGM,TREE,,,NLY,,,,,,,,,,,
hotels,BKNG,ABNB,MAR,LVS,HLT,MGM,RCL,EXPE,WYNN,H,CCL,MTN,CHDN,CZR,BYD,CHH,WH,IGT,NCLH,VAC,RRR,HGV,HST,TNL,LNW,TRIP,VICI,GLPI,FUN,BALY,RHP,APLE,PK,SHO,PEB,DRH,RLJ,SVC,INN,PENN,PLYA,CLDT,XHR,,,,,,,,,,,,,,,,,
infra_software,MSFT,ORCL,NOW,VMW,SNOW,PANW,FTNT,CRWD,DDOG,ZS,SPLK,GEN,BOX,NET,AKAM,MDB,DT,ZI,TWLO,DBX,NTNX,TENB,TDC,CVLT,FSLY,S,VRRM,QLYS,SWI,IONQ,HCP,VRNS,RPD,LSPD,YEXT,ZUO,AVPT,PAY,ADEA,BASE,BAND,OSPN,SCWX,,,,,,,,,,,,,,,,,
insurance,MET,PGR,ALL,AIG,PRU,TRV,HIG,LNC,AFL,PFG,MMC,UNM,CNA,L,MKL,AON,WRB,AIZ,AJG,CINF,AFG,ERIE,GL,BRO,THG,ORI,PRI,KMPR,SIGI,BHF,VRSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leisure_equipt,HAS,MAT,PII,BC,BGFV,THO,PTON,MODG,YETI,LCII,CWH,WGO,VSTO,MBUU,MCFT,FNKO,GOLF,ONEW,BOWL,SWBI,RGR,GRMN,ASO,SPWH,HIBB,JAKK,CLAR,PLNT,DKS,LTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
machinery,CAT,DE,PH,IR,MWA,DOV,XYL,IEX,SYM,SNA,GGG,SWK,NDSN,GTES,TTC,LECO,AGCO,RRX,DCI,MIDD,MSA,FLS,FELE,ZWS,ESAB,WHD,HI,TEX,FSS,EMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
media,GOOGL,VZ,CMCSA,T,DIS,CHTR,WBD,NFLX,PARA,VRSN,DISH,PINS,OMC,FOXA,IPG,NWSA,DLR,LBTYK,SIRI,EA,EQIX,WMG,FYBR,TDS,TTWO,IAC,NXST,SNAP,USM,DBRG,GTN,TGNA,SHEN,MTCH,AMCX,TTD,SPOT,LAMR,ROKU,APP,TKO,IRDM,NTES,CABO,CCOI,BMBL,ZD,OUT,YELP,SCPL,STGW,SSP,MGNI,GOGO,UPWK,SATS,SSTK,RBLX,VMEO,THRY
metals,SCCO,FCX,NEM,NC,AA,MP,HL,BTU,SSRM,ARLP,AMR,ARCH,PLL,HCC,CDE,CMP,KALU,CVEO,AMRK,SXC,RIO,CCJ,BHP,METC,HNRG,AU,LEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midstreamers,ENB,EPD,TRP,KMI,LNG,WMB,MPLX,OKE,CQP,PBA,TRGP,OGE,WES,PAA,,HESM,NFE,AM,DTM,ENLC,GLNG,PAGP,ETRN,EE,GPP,HEP,GLP,NS,KNTK,ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oil_servicers,SLB,BKR,HAL,NOV,CHX,NE,WFRD,VAL,RIG,HP,PTEN,TDW,LBRT,XPRO,USAC,,OII,AROC,RES,DNOW,DO,HLX,NBR,DRQ,SLCA,WTTR,RNGR,PUMP,VTOL,OIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharma,LLY,MRK,JNJ,ABBV,PFE,ABT,BMY,AMGN,GILD,ZTS,REGN,BIIB,SGEN,ALNY,HZNP,BMRN,INCY,LEGN,VTRS,UTHR,SRPT,APLS,NBIX,GSK,KRTX,JAZZ,EXEL,IONS,OGN,ELAN,HALO,CERE,SNY,GH,PCVX,ACAD,RETA,FOLD,AMPH,INSM,VIR,RARE,MRVI,NVO,PTCT,PBH,CORT,HRMY,NVS,SUPN,RCUS,IRWD,AZN,,,,,,,
refiners,CVX,MPC,PSX,VLO,SHEL,CVE,IMO,SU,BP,OVV,DINO,CASY,GEL,MUSA,SUN,PBF,CVI,CEQP,WKC,DK,PARR,CLNE,PBR,VTNR,LYB,TTE,OEC,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renewables,ENPH,FSLR,PLUG,FLNC,SHLS,ENS,RUN,ARRY,CSIQ,AMRC,SPWR,NOVA,GPRE,BLDP,STEM,EVA,REX,CLSK,BE,TPIC,FF,BEPC,NEE,CEG,CHPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurants,DRI,MCD,SBUX,CMG,YUM,QSR,DPZ,TXRH,WING,BROS,WEN,PZZA,CBRL,SHAK,BLMN,JACK,CAKE,CNNE,DIN,SG,PLAY,BJRI,KRUS,FCPT,DENN,RRGB,LOCO,DASH,PBPB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi_mfg,AMAT,LRCX,KLAC,GFS,TER,ENTG,ALGM,MKSI,AMKR,ONTO,ACLS,FORM,COHU,UCTT,VECO,AEHR,ACMR,SKYT,RELL,TSEM,INTT,ASML,TSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semis,AVGO,ADI,CRUS,VSH,AMD,TXN,NVDA,QCOM,COHR,OLED,LSCC,INTC,NXPI,MU,MCHP,ON,POWI,MRVL,MPWR,SWKS,MTSI,AMBA,STM,QRVO,WOLF,MXL,IPGP,SLAB,SYNA,RMBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transports,ALK,AAL,SNDR,CHRW,CSX,DAL,EXPD,FDX,UPS,JBHT,LYFT,FWRD,KEX,LSTR,MATX,NSC,R,LUV,UNP,UAL,SAIA,XPO,CP,KNX,ODFL,HUBG,RXO,SAVE,WERN,UBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
